Name, Diffuse red, Diffuse green, Diffuse blue, Reflection red, Reflection green, Reflection blue, IOR, Color (web sRGB), V-Ray error, Ole error
Silver, 252, 250, 249, 255, 255, 255, 1.082, fefefd, 0.00302465, 0.00868057
Gold, 243, 201, 104, 255, 255, 255, 1.35002, fbe6ab, 0.0135778, 0.0791398
Copper, 238, 158, 137, 255, 255, 255, 1.21901, f8cfc2, 0.0121512, 0.104686
Aluminum, 230, 233, 235, 255, 255, 255, 1.002, f5f6f6, 0.0469594, 0.100725
Chromium, 141, 141, 141, 255, 255, 255, 1.03, c5c5c5, 0.0351829, 0.242846
Lead, 167, 168, 176, 255, 255, 255, 1.016, d4d5d9, 0.0463315, 0.220877
Platinum, 243, 238, 216, 255, 255, 255, 1.024, faf8ee, 0.023422, 0.069263
Titanium, 246, 239, 208, 255, 255, 255, 1.086, fcf9ea, 0.0156722, 0.0549119
Tungsten, 236, 213, 193, 255, 255, 255, 1.007, f7ece2, 0.051092, 0.151357
Iron, 226, 223, 210, 255, 255, 255, 1.006, f3f1eb, 0.0540311, 0.12988
Vanadium, 241, 228, 199, 255, 255, 255, 1.034, faf3e5, 0.0242656, 0.0890794
Zinc, 223, 221, 218, 255, 255, 255, 1.011, f1f0ef, 0.0387964, 0.110348
Nickel, 226, 219, 192, 255, 255, 255, 1.016, f3efe2, 0.0465793, 0.128947
Mercury, 199, 198, 198, 255, 255, 255, 1.013, e5e5e5, 0.0491893, 0.164558
Cobalt, 174, 167, 157, 255, 255, 255, 1.031, d8d4cf, 0.0404324, 0.199978
